Score = -18,A1.04,A1.06,A1.08,A1.10,B0.201,C0.110,C1.112
"Monday, 09:00 - 11:00",,Software engineering seminar,Architectuur en computerorganisatie lecture,Bioinformatica seminar,Data Mining practical,Project Genetic Algorithms practical,Bioinformatica lecture
"Monday, 11:00 - 13:00",Compilerbouw practical,Autonomous Agents 2 seminar,Technology for games lecture,Lineaire Algebra lecture,Webprogrammeren en databases lecture,Collectieve Intelligentie seminar,Programmeren in Java 2 practical
"Monday, 13:00 - 15:00",Moderne Databases practical,Software engineering seminar,Data Mining seminar,Compilerbouw seminar,Reflectie op de digitale cultuur seminar,Calculus 2 seminar,
"Monday, 15:00 - 17:00",Advanced Heuristics practical,,Webprogrammeren en databases lecture,Autonomous Agents 2 practical,Algoritmen en complexiteit lecture,,Project Genetic Algorithms practical
"Tuesday, 09:00 - 11:00",Algoritmen en complexiteit seminar,Autonomous Agents 2 practical,Technology for games seminar,Reflectie op de digitale cultuur seminar,Software engineering lecture,,Bioinformatica practical
"Tuesday, 11:00 - 13:00",Webprogrammeren en databases seminar,Compilerbouw lecture,Compilerbouw seminar,Autonomous Agents 2 lecture,Databases 2 seminar,,Collectieve Intelligentie lecture
"Tuesday, 13:00 - 15:00",Data Mining lecture,Data Mining lecture,,Compilerbouw practicum practical,Reflectie op de digitale cultuur seminar,Bioinformatica practical,Collectieve Intelligentie practical
"Tuesday, 15:00 - 17:00",Bioinformatica seminar,,Compilerbouw practicum practical,Webprogrammeren en databases seminar,Collectieve Intelligentie seminar,Architectuur en computerorganisatie lecture,Collectieve Intelligentie practical
"Wednesday, 09:00 - 11:00",Heuristieken 1 lecture,Programmeren in Java 2 practical,Collectieve Intelligentie lecture,Programmeren in Java 2 practical,,Machine Learning lecture,Interactie-ontwerp lecture
"Wednesday, 11:00 - 13:00",Databases 2 lecture,Compilerbouw practical,Moderne Databases practical,Data Mining seminar,Netwerken en systeembeveiliging practical,Netwerken en systeembeveiliging practical,Algoritmen en complexiteit seminar
"Wednesday, 13:00 - 15:00",,Heuristieken 2 lecture,Data Mining seminar,Moderne Databases practical,Zoeken sturen en bewegen practical,Autonomous Agents 2 seminar,Databases 2 seminar
"Wednesday, 15:00 - 17:00",Kansrekenen 2 lecture,Advanced Heuristics practical,Programmeren in Java 2 practical,Reflectie op de digitale cultuur lecture,Lineaire Algebra lecture,Moderne Databases lecture,Heuristieken 1 seminar
"Thursday, 09:00 - 11:00",Software engineering practical,Collectieve Intelligentie practical,Bioinformatica seminar,Informatie- en organisatieontwerp lecture,Zoeken sturen en bewegen practical,Machine Learning lecture,Technology for games lecture
"Thursday, 11:00 - 13:00",Autonomous Agents 2 seminar,Moderne Databases seminar,Zoeken sturen en bewegen practical,Kansrekenen 2 lecture,Reflectie op de digitale cultuur lecture,,Heuristieken 2 seminar
"Thursday, 13:00 - 15:00",Informatie- en organisatieontwerp lecture,Webprogrammeren en databases practical,Compilerbouw practicum practical,Calculus 2 lecture,Bioinformatica lecture,Algoritmen en complexiteit practical,Software engineering practical
"Thursday, 15:00 - 17:00",Project Numerical Recipes practical,,,Algoritmen en complexiteit practical,Calculus 2 seminar,Project Genetic Algorithms practical,Collectieve Intelligentie practical
"Friday, 09:00 - 11:00",Netwerken en systeembeveiliging practical,Collectieve Intelligentie seminar,Heuristieken 2 seminar,Compilerbouw lecture,Interactie-ontwerp lecture,Programmeren in Java 2 practical,Bioinformatica practical
"Friday, 11:00 - 13:00",Advanced Heuristics lecture,Moderne Databases seminar,Data Mining practical,Webprogrammeren en databases practical,Programmeren in Java 2 practical,Netwerken en systeembeveiliging practical,Collectieve Intelligentie seminar
"Friday, 13:00 - 15:00",Analysemethoden en -technieken lecture,Collectieve Intelligentie lecture,Moderne Databases seminar,,,Autonomous Agents 2 lecture,Heuristieken 1 seminar
"Friday, 15:00 - 17:00",Calculus 2 seminar,Technology for games seminar,Project Numerical Recipes practical,Autonomous Agents 2 practical,Project Numerical Recipes practical,Bioinformatica lecture,Data Mining practical
