Score = -112,A1.04,A1.06,A1.08,A1.10,B0.201,C0.110,C1.112
"Monday, 09:00 - 11:00",Heuristieken 1 seminar,Heuristieken 2 seminar,Informatie- en organisatieontwerp lecture,Calculus 2 seminar,Webprogrammeren en databases lecture,Kansrekenen 2 lecture,Calculus 2 lecture
"Monday, 11:00 - 13:00",,Architectuur en computerorganisatie lecture,Compilerbouw practical,Informatie- en organisatieontwerp lecture,Project Genetic Algorithms practical,Zoeken sturen en bewegen practical,
"Monday, 13:00 - 15:00",Netwerken en systeembeveiliging practical,Collectieve Intelligentie practical,Heuristieken 1 lecture,Bioinformatica lecture,Heuristieken 2 lecture,Data Mining practical,Compilerbouw seminar
"Monday, 15:00 - 17:00",Technology for games lecture,Heuristieken 1 seminar,Autonomous Agents 2 seminar,Kansrekenen 2 lecture,,Machine Learning lecture,Project Genetic Algorithms practical
"Tuesday, 09:00 - 11:00",Moderne Databases lecture,Advanced Heuristics lecture,Webprogrammeren en databases practical,Calculus 2 seminar,Architectuur en computerorganisatie lecture,Software engineering seminar,Collectieve Intelligentie lecture
"Tuesday, 11:00 - 13:00",,Lineaire Algebra lecture,Webprogrammeren en databases seminar,Programmeren in Java 2 practical,Autonomous Agents 2 lecture,Autonomous Agents 2 lecture,Data Mining seminar
"Tuesday, 13:00 - 15:00",Databases 2 seminar,Data Mining practical,Advanced Heuristics practical,Software engineering practical,,Collectieve Intelligentie seminar,Data Mining practical
"Tuesday, 15:00 - 17:00",Moderne Databases practical,Machine Learning lecture,Compilerbouw seminar,Reflectie op de digitale cultuur lecture,Autonomous Agents 2 seminar,Algoritmen en complexiteit seminar,Project Numerical Recipes practical
"Wednesday, 09:00 - 11:00",Moderne Databases practical,Collectieve Intelligentie practical,Data Mining lecture,Calculus 2 seminar,Moderne Databases practical,Compilerbouw practicum practical,Reflectie op de digitale cultuur seminar
"Wednesday, 11:00 - 13:00",Webprogrammeren en databases practical,Data Mining seminar,Project Numerical Recipes practical,Programmeren in Java 2 practical,Zoeken sturen en bewegen practical,Interactie-ontwerp lecture,Algoritmen en complexiteit lecture
"Wednesday, 13:00 - 15:00",Bioinformatica practical,Algoritmen en complexiteit practical,Bioinformatica practical,,Analysemethoden en -technieken lecture,Moderne Databases seminar,Compilerbouw lecture
"Wednesday, 15:00 - 17:00",Autonomous Agents 2 seminar,Collectieve Intelligentie lecture,Compilerbouw practical,Autonomous Agents 2 practical,Bioinformatica lecture,Collectieve Intelligentie lecture,Netwerken en systeembeveiliging practical
"Thursday, 09:00 - 11:00",Netwerken en systeembeveiliging practical,Netwerken en systeembeveiliging practical,Reflectie op de digitale cultuur seminar,,Webprogrammeren en databases lecture,Moderne Databases seminar,Autonomous Agents 2 practical
"Thursday, 11:00 - 13:00",Technology for games seminar,Interactie-ontwerp lecture,Heuristieken 2 seminar,Software engineering lecture,Programmeren in Java 2 practical,Programmeren in Java 2 practical,Advanced Heuristics practical
"Thursday, 13:00 - 15:00",,,Autonomous Agents 2 practical,Bioinformatica seminar,Algoritmen en complexiteit practical,,Reflectie op de digitale cultuur lecture
"Thursday, 15:00 - 17:00",Bioinformatica practical,Bioinformatica seminar,Data Mining lecture,Software engineering practical,Zoeken sturen en bewegen practical,Bioinformatica lecture,Project Numerical Recipes practical
"Friday, 09:00 - 11:00",Technology for games seminar,Compilerbouw practicum practical,Data Mining seminar,Bioinformatica seminar,Lineaire Algebra lecture,,Reflectie op de digitale cultuur seminar
"Friday, 11:00 - 13:00",Collectieve Intelligentie seminar,Collectieve Intelligentie practical,Databases 2 lecture,Programmeren in Java 2 practical,,Collectieve Intelligentie seminar,Collectieve Intelligentie practical
"Friday, 13:00 - 15:00",Webprogrammeren en databases seminar,Compilerbouw lecture,Databases 2 seminar,Programmeren in Java 2 practical,Algoritmen en complexiteit seminar,Moderne Databases seminar,
"Friday, 15:00 - 17:00",Technology for games lecture,Collectieve Intelligentie seminar,,Compilerbouw practicum practical,Software engineering seminar,Project Genetic Algorithms practical,
