Score = -78,A1.04,A1.06,A1.08,A1.10,B0.201,C0.110,C1.112
"Monday, 09:00 - 11:00",Heuristieken 1 seminar,,Software engineering practical,Netwerken en systeembeveiliging practical,Moderne Databases practical,Calculus 2 seminar,Project Numerical Recipes practical
"Monday, 11:00 - 13:00",Lineaire Algebra lecture,Advanced Heuristics practical,Programmeren in Java 2 practical,Project Numerical Recipes practical,Autonomous Agents 2 lecture,Webprogrammeren en databases seminar,Kansrekenen 2 lecture
"Monday, 13:00 - 15:00",Informatie- en organisatieontwerp lecture,Compilerbouw practical,Netwerken en systeembeveiliging practical,Netwerken en systeembeveiliging practical,Algoritmen en complexiteit seminar,Calculus 2 lecture,Project Genetic Algorithms practical
"Monday, 15:00 - 17:00",Programmeren in Java 2 practical,Compilerbouw practicum practical,Algoritmen en complexiteit practical,Compilerbouw lecture,Compilerbouw seminar,Autonomous Agents 2 practical,Lineaire Algebra lecture
"Tuesday, 09:00 - 11:00",Machine Learning lecture,Analysemethoden en -technieken lecture,Bioinformatica practical,Compilerbouw practicum practical,Zoeken sturen en bewegen practical,Data Mining practical,Data Mining seminar
"Tuesday, 11:00 - 13:00",Collectieve Intelligentie seminar,,Collectieve Intelligentie lecture,Webprogrammeren en databases practical,Moderne Databases seminar,Architectuur en computerorganisatie lecture,Data Mining lecture
"Tuesday, 13:00 - 15:00",Heuristieken 1 lecture,Calculus 2 seminar,Technology for games seminar,Reflectie op de digitale cultuur lecture,Autonomous Agents 2 seminar,Reflectie op de digitale cultuur seminar,Heuristieken 2 seminar
"Tuesday, 15:00 - 17:00",Bioinformatica lecture,Zoeken sturen en bewegen practical,Bioinformatica seminar,,Project Numerical Recipes practical,Heuristieken 1 seminar,Collectieve Intelligentie practical
"Wednesday, 09:00 - 11:00",Technology for games lecture,Moderne Databases practical,Informatie- en organisatieontwerp lecture,Collectieve Intelligentie seminar,Architectuur en computerorganisatie lecture,Autonomous Agents 2 practical,Data Mining lecture
"Wednesday, 11:00 - 13:00",Heuristieken 2 lecture,,Autonomous Agents 2 practical,Moderne Databases seminar,Reflectie op de digitale cultuur lecture,Project Genetic Algorithms practical,Data Mining practical
"Wednesday, 13:00 - 15:00",Programmeren in Java 2 practical,Bioinformatica seminar,Compilerbouw lecture,Bioinformatica lecture,Algoritmen en complexiteit lecture,,Collectieve Intelligentie seminar
"Wednesday, 15:00 - 17:00",Programmeren in Java 2 practical,Collectieve Intelligentie practical,Technology for games seminar,Moderne Databases seminar,Compilerbouw practicum practical,Interactie-ontwerp lecture,
"Thursday, 09:00 - 11:00",Bioinformatica practical,,Webprogrammeren en databases lecture,Software engineering lecture,Databases 2 seminar,Collectieve Intelligentie seminar,Data Mining practical
"Thursday, 11:00 - 13:00",Collectieve Intelligentie practical,Advanced Heuristics practical,Moderne Databases lecture,Heuristieken 2 seminar,Software engineering practical,Reflectie op de digitale cultuur seminar,Collectieve Intelligentie lecture
"Thursday, 13:00 - 15:00",Software engineering seminar,Project Genetic Algorithms practical,Software engineering seminar,Compilerbouw practical,,Databases 2 lecture,Programmeren in Java 2 practical
"Thursday, 15:00 - 17:00",Collectieve Intelligentie practical,Zoeken sturen en bewegen practical,Moderne Databases practical,,Bioinformatica lecture,,Compilerbouw seminar
"Friday, 09:00 - 11:00",Databases 2 seminar,Autonomous Agents 2 seminar,Interactie-ontwerp lecture,Calculus 2 seminar,Data Mining seminar,Algoritmen en complexiteit seminar,Collectieve Intelligentie lecture
"Friday, 11:00 - 13:00",Reflectie op de digitale cultuur seminar,,Kansrekenen 2 lecture,,Advanced Heuristics lecture,Webprogrammeren en databases seminar,Bioinformatica seminar
"Friday, 13:00 - 15:00",Autonomous Agents 2 seminar,Machine Learning lecture,Technology for games lecture,Webprogrammeren en databases lecture,,Netwerken en systeembeveiliging practical,Data Mining seminar
"Friday, 15:00 - 17:00",Autonomous Agents 2 lecture,,,Webprogrammeren en databases practical,Algoritmen en complexiteit practical,Programmeren in Java 2 practical,Bioinformatica practical
